Slip Angle,Lateral Force,Normal Force
0.159,-564.27,-218.46
0.16,-569.11,-221.16
0.161,-567.79,-221.9
0.162,-562.97,-220.96
0.162,-553.78,-219.46
0.163,-543.08,-215.48
0.164,-532.63,-212.4
0.165,-525.79,-211.04
0.165,-528.21,-209.47
0.166,-539.98,-212.57
0.166,-554.54,-213.72
0.167,-565.71,-218.97
0.168,-572.58,-218.9
0.169,-570.73,-217.9
0.169,-567.15,-218.06
0.17,-559.56,-218.8
0.171,-551.02,-214.09
0.171,-541.66,-214.77
0.172,-532.59,-209.89
0.173,-529.07,-209.79
0.173,-536.54,-210.7
0.174,-547.05,-212.76
0.175,-558.78,-214.86
0.176,-569.12,-217.51
0.176,-571.03,-218.71
0.177,-568.4,-219.34
0.177,-565.04,-215.56
0.178,-559.23,-215.92
0.179,-551.18,-216.68
0.18,-542.77,-214.53
0.18,-535.19,-211.24
0.181,-535.24,-210.45
0.182,-541.27,-208.69
0.182,-552.71,-212.18
0.183,-562.91,-215.14
0.184,-570.61,-217.54
0.184,-572.65,-217.58
0.185,-570.65,-219.63
0.186,-567.78,-218.77
0.187,-562.28,-217.5
0.187,-552.42,-215.31
0.188,-542.89,-213.17
0.189,-536.02,-209.06
0.189,-535.23,-209.61
0.19,-544.79,-210.48
0.191,-556.54,-212.48
0.192,-567.05,-214.99
0.192,-574.56,-217.76
0.193,-573.36,-217.94
0.194,-569.07,-217.16
0.195,-565.81,-215.96
0.195,-555.74,-212.8
0.196,-547.64,-211.66
0.197,-537.43,-209.27
0.197,-532.57,-205.95
0.198,-535.17,-209
0.199,-547.5,-210.34
0.199,-561.55,-213.02
0.2,-573.82,-216.35
0.201,-579.5,-217.31
0.201,-576.77,-217.08
0.202,-574.64,-216.69
0.203,-567.62,-217.14
0.204,-558.14,-215.5
0.204,-546.34,-213.38
0.205,-539.37,-209.75
0.205,-537.42,-208.32
0.206,-544.31,-212.3
0.206,-556.62,-215
0.207,-569.24,-217.97
0.207,-578.12,-218.61
0.207,-584.18,-219.8
0.207,-586.55,-219.88
0.207,-581.56,-219.42
0.212,-562.9,-215.36
0.212,-551.66,-214.53
0.212,-543.51,-210.83
0.212,-545.93,-210.41
0.212,-556.78,-212.75
0.212,-571.97,-216.11
0.212,-583.64,-220.16
0.211,-589.9,-221.85
0.211,-589.83,-223.16
0.211,-585.21,-222.13
0.211,-579.69,-222.81
0.211,-571.91,-220.67
0.211,-563.54,-217.79
0.211,-556.8,-216.5
0.211,-552.51,-216.25
0.211,-554.74,-214.21
0.211,-562.73,-214.68
0.211,-574.63,-218.93
0.211,-583.55,-219.98
0.21,-587.09,-220.09
0.21,-586.37,-221.2
0.21,-584.1,-222.83
0.209,-580.01,-220.2
0.209,-573.38,-221.41
0.208,-565.04,-219.83
0.207,-554.33,-216.03
0.207,-549.14,-215.99
0.206,-553.77,-214.04
0.205,-564.23,-213.33
0.204,-575.37,-219.42
0.203,-583.42,-222.96
0.203,-587.05,-225.45
0.202,-586.36,-221.3
0.201,-581.86,-223.31
0.2,-576.74,-223.13
0.199,-570.41,-221.06
0.199,-563.21,-219.85
0.198,-553.95,-216.8
0.197,-550.05,-215.16
0.197,-554.52,-215.84
0.196,-565.01,-216.45
0.195,-575.46,-221.48
0.195,-582.4,-222.53
0.194,-584.19,-221.52
0.194,-582.25,-222.45
0.193,-581,-223.88
0.192,-574.6,-222.07
0.192,-567.55,-219.35
0.191,-555.99,-218.82
0.191,-547.98,-217.49
0.19,-545.61,-214.99
0.189,-552.35,-217.3
0.189,-564.95,-219.96
0.188,-575.22,-220.92
0.187,-583.44,-225
0.187,-584.93,-224.06
0.186,-582.11,-223.06
0.185,-576.58,-224.37
0.184,-568.44,-222.52
0.183,-558.78,-220.64
0.183,-547.08,-215.55
0.182,-540.11,-215.17
0.181,-541.59,-215.08
0.18,-551.89,-217.03
0.18,-564.87,-220.48
0.179,-576.5,-223.72
0.179,-584.41,-224.76
0.178,-585.47,-225.78
0.177,-583.07,-224.43
0.177,-576.28,-224.44
