Slip Angle,Lateral Force,Normal Force
-0.181,1073.32,-428.43
-0.182,1074.57,-425.16
-0.183,1082.97,-424.36
-0.183,1094.85,-427.5
-0.184,1107.27,-429.85
-0.184,1113.32,-430.81
-0.185,1116.67,-431.78
-0.186,1115.26,-433.57
-0.186,1107.73,-434.64
-0.187,1098.1,-433.37
-0.188,1086.56,-431.54
-0.189,1076.76,-431.07
-0.189,1073.18,-425.66
-0.19,1078.18,-425.8
-0.191,1088.57,-427.76
-0.191,1099.61,-428.84
-0.192,1109.9,-430.46
-0.193,1113.9,-432.62
-0.194,1116.21,-433.18
-0.194,1111.92,-432.59
-0.195,1102.84,-434.54
-0.195,1091.8,-433.31
-0.196,1081.56,-430.51
-0.197,1073.94,-427.09
-0.198,1075.33,-425.46
-0.198,1084.34,-423.32
-0.199,1094.08,-425.7
-0.2,1105.16,-428.14
-0.201,1112.07,-429.15
-0.201,1114.16,-432.82
-0.202,1113.33,-434.87
-0.203,1109.62,-434.92
-0.203,1100.89,-435.44
-0.204,1090.62,-431.85
-0.205,1080.02,-429.66
-0.205,1078.76,-430.98
-0.205,1083.63,-429.8
-0.206,1091.93,-432.83
-0.206,1101.56,-430.63
-0.206,1111.29,-432.24
-0.212,1126.19,-432.69
-0.212,1128.59,-434.27
-0.212,1126.19,-438
-0.212,1118.59,-436.56
-0.212,1107.58,-436.45
-0.212,1098.03,-436.13
-0.211,1093.37,-433.98
-0.211,1095.35,-436.21
-0.211,1101.58,-436.05
-0.211,1112.74,-434.91
-0.211,1122.27,-434.46
-0.211,1128.53,-437.31
-0.211,1131.82,-437.41
-0.211,1129.13,-439.35
-0.211,1121.65,-441.67
-0.211,1109.65,-439.09
-0.211,1097.98,-437.08
-0.211,1091.84,-435.27
-0.211,1092.61,-434.24
-0.211,1100.75,-433.02
-0.211,1112.54,-435.73
-0.21,1124.26,-435.86
-0.21,1131.15,-436.77
-0.21,1133.8,-440.29
-0.209,1131.91,-440.85
-0.208,1124.82,-442.18
-0.208,1112.27,-438.73
-0.207,1099.84,-438.58
-0.206,1091.75,-434.25
-0.205,1089.76,-431.46
-0.204,1093.9,-434.39
-0.203,1104.37,-432.06
-0.202,1114.65,-431.58
-0.201,1122.8,-433.63
-0.2,1126.62,-437.76
-0.2,1125.7,-438.83
-0.199,1121.52,-439.23
-0.198,1113.4,-443.77
-0.198,1103.66,-443.55
-0.197,1093.22,-439.47
-0.196,1086.91,-437.09
-0.196,1088.4,-433.83
-0.195,1098.88,-430.78
-0.195,1111.44,-431.49
-0.194,1121.69,-435.36
-0.194,1127.14,-437.1
-0.193,1129.25,-440.07
-0.193,1123.56,-441.74
-0.192,1117.54,-444.61
-0.191,1109.67,-442.9
-0.191,1100.65,-442.41
-0.19,1093.12,-439.12
-0.189,1092.01,-435.72
-0.189,1097.53,-431.23
-0.188,1105.7,-434.8
-0.187,1115.38,-434.52
-0.187,1119.51,-437.72
-0.186,1120.75,-439.81
-0.185,1119.4,-442.81
-0.184,1117.25,-445.61
-0.183,1113.9,-446.69
-0.182,1106.45,-442.09
-0.181,1099.61,-440.53
-0.181,1094.04,-434.78
-0.18,1091.92,-431.46
-0.179,1094.66,-433.59
-0.178,1100.16,-433.2
-0.178,1107.05,-436.82
-0.177,1112.65,-440.65
-0.176,1114.63,-440.05
-0.176,1116.81,-442.92
-0.175,1114.72,-442.05
-0.175,1111.97,-440.33
-0.174,1102.21,-440.52
-0.174,1093.99,-435.35
-0.173,1087.11,-433.5
-0.172,1084.31,-434.02
-0.172,1091.22,-434.97
-0.171,1099.49,-435.81
-0.17,1108.68,-439.31
-0.17,1115.22,-441.88
-0.169,1117.35,-442.22
-0.168,1115.98,-442.35
-0.167,1112.55,-441.91
-0.167,1102.22,-441
-0.166,1091.19,-440.52
-0.165,1082.2,-436.29
-0.164,1079.53,-435.3
-0.163,1082.38,-430.66
-0.163,1091.97,-434.09
-0.162,1100.95,-437.11
-0.161,1109.18,-438.76
-0.161,1112.73,-439.26
-0.16,1111.83,-442.01
-0.159,1107.04,-441.98
-0.158,1099.26,-443.81
-0.158,1090.37,-439.6
-0.157,1080.89,-439.27
-0.157,1075.25,-436.1
-0.156,1074.65,-435.69
-0.156,1084.47,-435.24
-0.155,1093.52,-439.5
-0.154,1102.33,-439.57
-0.154,1108.47,-442.37
-0.153,1110.01,-441.96
-0.152,1107.21,-445.05
-0.151,1101.47,-444.21
-0.151,1091.78,-444.75
-0.15,1080.1,-441.78
-0.149,1071.17,-437.33
-0.148,1065.72,-434.52
-0.148,1069.29,-435.1
-0.147,1076.75,-436.18
-0.146,1087.05,-437.82
-0.145,1095.4,-441.65
-0.145,1097.42,-444.16
-0.144,1097.3,-446.68
-0.143,1091.8,-445.49
-0.142,1086.45,-446.4
-0.142,1076.73,-442.64
-0.141,1066.99,-441.34
-0.14,1060.16,-439.57
-0.14,1060.19,-437.51
-0.139,1067,-437.99
-0.138,1075.24,-440
-0.138,1084.38,-442.46
-0.137,1090.6,-443.77
-0.137,1090.56,-444.02
-0.136,1088.52,-448.33
-0.135,1082.18,-449.01
-0.135,1073.14,-444.72
-0.134,1062.88,-444.51
-0.133,1053.23,-441.01
-0.133,1049.08,-438.22
-0.132,1052.7,-438.72
-0.131,1059.64,-439.16
-0.13,1067.95,-440.65
-0.13,1073.98,-440.96
-0.129,1076.06,-445.44
-0.128,1072.66,-445.91
-0.127,1067.95,-446.56
-0.127,1057.93,-445.12
-0.126,1049.05,-443.13
-0.125,1039.49,-441.75
-0.124,1033.94,-437
-0.124,1033.92,-434.92
-0.123,1039.68,-437.55
-0.122,1048.49,-437.98
-0.122,1055.27,-440.47
-0.121,1059.53,-443.24
-0.121,1058.23,-444.55
-0.12,1052.53,-446.68
-0.119,1046.3,-446.39
-0.119,1037.24,-442.8
-0.118,1026.37,-440.91
-0.117,1018.6,-438.37
-0.117,1016.79,-437.38
-0.116,1021.47,-434.91
-0.115,1029.23,-434.61
-0.114,1036.85,-436.7
-0.114,1040.85,-440.63
-0.113,1040.95,-443.07
-0.112,1036.8,-443.95
-0.111,1030.33,-444.2
-0.111,1021.45,-445.73
-0.11,1013.15,-442.9
-0.109,1004.39,-439.95
-0.108,999.45,-433.92
-0.108,999.51,-433.23
-0.107,1006.51,-434.19
-0.106,1014.8,-435.54
-0.106,1021.81,-438.54
-0.105,1023.01,-439.86
-0.104,1021.52,-442.27
-0.104,1016.69,-444.2
-0.103,1010.38,-443.58
-0.103,1000.05,-438.91
-0.102,989.05,-437.07
-0.101,981.58,-431.97
-0.1,978.33,-433.8
-0.1,982.28,-433.38
-0.099,990.5,-436.2
-0.098,999.75,-439.76
-0.098,1003.69,-441.49
-0.097,1005.84,-443.01
-0.096,1002.15,-442.66
-0.095,995.14,-444.45
-0.095,984.29,-441.8
-0.094,972.48,-439.4
-0.093,963.36,-438.81
-0.092,957.45,-434.39
-0.092,956.75,-433.18
-0.091,961.64,-432.87
-0.09,969.98,-434.99
-0.09,974.73,-436.59
-0.089,977.32,-438.82
-0.088,976.09,-441.96
-0.088,972.03,-442.99
-0.087,962.14,-441.12
-0.086,949.65,-438.53
-0.086,938.82,-436.88
-0.085,929.72,-434.42
-0.084,927.92,-433.68
-0.084,930.54,-435.22
-0.083,940.93,-437.03
-0.082,947.79,-437.85
-0.082,953.21,-440.12
-0.081,952.67,-440.91
-0.08,947.9,-441.78
-0.079,937.44,-442.9
-0.079,925.62,-440.41
-0.078,912.63,-440.27
-0.077,902.05,-436.04
-0.077,895.35,-432.25
-0.076,895.86,-431.32
-0.075,900.8,-434.38
-0.075,909.3,-434.22
-0.074,912.63,-438.67
-0.073,912.63,-440.7
-0.072,907.76,-441.89
-0.072,900,-442.32
-0.071,886.97,-441.57
-0.07,875.91,-438.63
-0.07,864.29,-435.2
-0.069,855.41,-432.49
-0.068,853.25,-432.2
-0.068,854.63,-432.07
-0.067,860.9,-433.54
-0.066,865.9,-436.54
-0.065,866.32,-435.97
-0.065,862.97,-440.82
-0.064,854.78,-440.77
-0.063,845.63,-440.59
-0.063,831.83,-439.26
-0.062,819.92,-434.53
-0.061,810.37,-429.9
-0.061,804.95,-430.74
-0.06,803.02,-428.84
-0.059,806.29,-432.83
-0.059,810,-433.63
-0.058,810.47,-436.34
-0.057,807.8,-438.69
-0.056,800.01,-439.8
-0.056,790.49,-439.43
-0.055,778.59,-439.95
-0.054,766.34,-436.22
-0.053,756.05,-432.97
-0.053,747.85,-430.83
-0.052,745,-428.67
-0.052,743.03,-430.68
-0.051,744.15,-433.31
-0.05,745.76,-434.69
-0.049,742.28,-438.82
-0.049,736.53,-439.93
-0.048,729.03,-440.6
-0.047,719.33,-439.84
-0.046,706.1,-436.59
-0.046,693.12,-431.98
-0.045,683.63,-433.58
-0.045,675.33,-430.9
-0.044,671.85,-431.8
-0.043,670.04,-434.36
-0.043,670.4,-435.65
-0.042,667.7,-439.72
-0.041,662.22,-441.4
-0.04,653.12,-439.62
-0.04,642.76,-441.15
-0.039,631.03,-439.67
-0.038,618.02,-434.44
-0.038,606.14,-430.93
-0.037,597.91,-431.26
-0.036,591.08,-431.03
-0.035,589.14,-435.83
-0.035,585.5,-435.36
-0.034,583.57,-436.47
-0.033,577.35,-439.64
-0.032,566.87,-437.62
-0.032,556.48,-437.3
-0.031,542.29,-437.45
-0.03,529.02,-434.67
-0.03,516.59,-431.27
-0.029,507.72,-429.34
-0.028,500.13,-428.25
-0.027,494.41,-430.82
-0.027,491.21,-434.38
-0.026,485.05,-437.23
-0.025,477.23,-437.79
-0.025,469.75,-440.06
-0.024,458.04,-441.35
-0.023,445.56,-437.79
-0.023,431.71,-435.93
-0.022,419.36,-431.01
-0.021,407.58,-432.09
-0.021,397.87,-429.75
-0.02,389.66,-430.7
-0.02,382.19,-433.69
-0.019,373.76,-435.26
-0.018,364.78,-439.34
-0.018,354.4,-441.29
-0.017,342.88,-437.8
-0.016,327.5,-436.84
-0.016,313.66,-436.16
-0.015,299.92,-431.22
-0.014,287.65,-429.99
-0.014,273.63,-426.55
-0.013,259.92,-428.8
-0.012,248.21,-432.71
-0.011,235.94,-436.5
-0.01,221.27,-439.59
-0.01,206.1,-440.45
-0.009,189.51,-438.69
-0.008,175.01,-439.81
-0.007,156.59,-437.02
-0.006,137.69,-434.44
-0.005,120.6,-433.45
-0.005,103.99,-429.93
-0.004,88.88,-431.09
-0.003,72.91,-434.94
-0.003,57.77,-437.98
-0.002,41.86,-440.73
-0.002,27.4,-445.26
-0.001,9.32,-443.98
-0.001,-5.08,-444.7
0.001,-73.46,-676.52
0.002,-94.49,-675.57
0.003,-115.76,-674.51
0.004,-137.83,-672.48
0.004,-160.56,-670.5
0.005,-182.63,-667.33
0.006,-203.97,-666.43
0.006,-223.86,-670.05
0.007,-246.71,-675.35
0.008,-267.46,-678.62
0.009,-291.04,-682.26
0.01,-315.32,-685.98
0.011,-340.6,-687.19
0.011,-364.85,-686.3
0.012,-390.94,-684.95
0.013,-415.15,-682.89
0.014,-437.29,-680.14
0.014,-456.62,-679.49
0.015,-473.67,-680.49
0.015,-491.69,-684.04
0.016,-508.96,-689.92
0.017,-526.91,-693.1
0.017,-545.47,-696.69
0.018,-564.91,-697.96
0.018,-584.96,-697.02
0.019,-604.32,-696.37
0.02,-621.58,-697.63
0.021,-638.12,-697.32
0.021,-650.62,-693.22
0.022,-662.2,-693.68
0.023,-674.64,-695.44
0.024,-689.84,-703.4
0.024,-705.64,-702.62
0.025,-722.87,-706.42
0.026,-743.72,-707.89
0.026,-761.44,-705.78
0.027,-779.57,-705.34
0.028,-796.77,-698.19
0.028,-811.18,-695.1
0.029,-820.11,-691.51
0.03,-828.39,-687.6
0.03,-835.31,-687.6
0.031,-844.24,-693.16
0.032,-855.96,-691.62
0.032,-870.38,-692.84
0.033,-887.09,-694.08
0.034,-903.45,-692.13
0.035,-917.31,-689.75
0.036,-928.48,-685.68
0.036,-938.09,-680.71
0.037,-944.87,-677.23
0.038,-950.41,-673.61
0.038,-953.8,-670
0.039,-959.45,-673.52
0.04,-968.18,-674.8
0.04,-981.36,-678.03
0.041,-997.13,-676.31
0.042,-1014,-677.34
0.043,-1027.63,-675.97
0.043,-1037.27,-672.32
0.044,-1045.61,-669.18
0.044,-1050.25,-664.56
0.045,-1053.11,-662.03
0.046,-1054.6,-658.52
0.046,-1058.54,-660.01
0.047,-1066.82,-664
0.047,-1077.97,-667.52
0.048,-1093.7,-670.24
0.049,-1109.77,-671.37
0.05,-1122.13,-670.32
0.051,-1133.94,-668.11
0.051,-1142.17,-665.97
0.052,-1147.06,-662.9
0.053,-1151,-658.6
0.054,-1152.48,-656.21
0.054,-1155.82,-658.62
0.055,-1160.56,-657.85
0.056,-1170.96,-663.61
0.057,-1184.02,-666.9
0.057,-1200.63,-668.61
0.058,-1213.8,-668.72
0.059,-1224.96,-669.36
0.059,-1232.4,-665.26
0.06,-1237.98,-664.55
0.061,-1237.96,-660.57
0.061,-1236.57,-657.91
0.062,-1235.14,-656.12
0.063,-1237.96,-661.84
0.063,-1244.68,-664.67
0.064,-1257.24,-666.44
0.065,-1271.03,-668.39
0.065,-1284.11,-667.82
0.066,-1295.16,-667.73
0.067,-1299.36,-664.82
0.067,-1303.51,-660.91
0.068,-1301.38,-659.11
0.069,-1300.7,-653.12
0.07,-1300.08,-655.03
0.07,-1301.96,-655.33
0.071,-1309.4,-658.4
0.072,-1321.94,-664.14
0.072,-1337.13,-665.12
0.073,-1351.13,-664.75
0.074,-1359.25,-660.92
0.075,-1364.22,-661.28
0.075,-1363.36,-657.39
0.076,-1362.82,-654.89
0.076,-1358.59,-650.51
0.077,-1356.56,-651.87
0.078,-1357.82,-652.41
0.079,-1364.15,-655.08
0.079,-1375.79,-659.33
0.08,-1390.28,-662.39
0.081,-1403.46,-663.12
0.081,-1412.48,-660.32
0.082,-1415.2,-659.89
0.083,-1414.51,-657.16
0.084,-1410.37,-652.52
0.084,-1406.12,-651.23
0.085,-1402.06,-648.19
0.086,-1402.68,-647.52
0.087,-1410.92,-652.09
0.087,-1422.62,-654.93
0.088,-1437.17,-659.09
0.088,-1450.95,-662.83
0.089,-1458.61,-659.51
0.09,-1459.41,-657.32
0.091,-1455.97,-655.56
0.091,-1450.93,-649.59
0.092,-1446.25,-646.25
0.093,-1440.6,-643.94
0.093,-1438.43,-645.4
0.094,-1445.45,-649.7
0.095,-1455.88,-654.93
0.095,-1470.93,-656.45
0.096,-1484.67,-660.63
0.097,-1492.4,-654.11
0.098,-1490.93,-656.21
0.098,-1491.1,-652.84
0.099,-1486.9,-648.45
0.1,-1483.32,-646.6
0.1,-1479.98,-643.7
0.101,-1476.39,-645.09
0.102,-1476.52,-644.35
0.103,-1484.05,-645.77
0.103,-1496.35,-651.54
0.104,-1510.21,-653.53
0.105,-1518.65,-655.05
0.105,-1521.28,-652.31
0.106,-1519.82,-650.24
0.107,-1515.84,-649.98
0.107,-1510.4,-646.38
0.108,-1506.92,-640.67
0.109,-1502.73,-641.63
0.11,-1505.34,-643.55
0.11,-1514.5,-647.98
0.111,-1529.71,-652.59
0.112,-1542.09,-654.92
0.112,-1551.73,-655.33
0.113,-1557.15,-655.62
0.114,-1557.88,-653.72
0.114,-1554.47,-650.83
0.115,-1550.37,-649.04
0.116,-1544.08,-649.83
0.116,-1541.92,-647.12
0.117,-1541.38,-648.65
0.118,-1547.45,-651.36
0.118,-1561.32,-655.42
0.119,-1577.78,-659.71
0.12,-1588.33,-660.24
0.121,-1594.48,-662.76
0.121,-1595.11,-659.09
0.122,-1591.77,-658.72
0.123,-1584.83,-655.1
0.123,-1577.99,-650.02
0.124,-1571.68,-649.33
0.125,-1569.64,-652.36
0.126,-1574.99,-653.73
0.126,-1588.26,-658.33
0.127,-1605.56,-660.48
0.128,-1620.72,-664.11
0.128,-1628.95,-664.83
0.129,-1629.6,-662.63
0.13,-1624.18,-660.84
0.13,-1615.86,-657.23
0.131,-1606.11,-653.64
0.132,-1598.48,-652.59
0.132,-1593.77,-650.66
0.133,-1597.94,-652.21
0.134,-1608.83,-653.67
0.135,-1626.11,-659.95
0.135,-1640.7,-663.03
0.136,-1650.37,-663.76
0.137,-1649.66,-662.23
0.137,-1643.48,-660.6
0.138,-1631.08,-659.06
0.139,-1619.28,-655.88
0.139,-1612.42,-653.15
0.14,-1608.13,-652.07
0.141,-1608.84,-652.56
0.142,-1617.97,-654.47
0.142,-1633.86,-659.48
0.143,-1652.41,-661.23
0.144,-1663.43,-665.13
0.144,-1668.89,-664.18
0.145,-1664.1,-661.49
0.146,-1655.89,-661.69
0.146,-1645.58,-659.44
0.147,-1637.38,-656.67
0.148,-1630.24,-654.42
0.149,-1628.39,-654.75
0.149,-1630.97,-658.63
0.15,-1639.98,-659.42
0.151,-1655.92,-661.42
0.151,-1668.27,-665.21
0.152,-1675.2,-665.39
0.153,-1675.2,-666.15
0.154,-1668.3,-664.09
0.154,-1657.26,-660.56
0.155,-1648.42,-660.05
0.156,-1640.65,-657.45
0.156,-1635.27,-657.04
0.157,-1636.69,-659.59
0.158,-1644.73,-658.86
0.158,-1658.53,-662.61
0.159,-1672.44,-664.79
0.16,-1679.32,-666.94
0.161,-1678.75,-665.25
0.161,-1671.84,-663.65
0.162,-1661.57,-662.89
0.162,-1650.38,-658.91
0.163,-1642.2,-656.93
0.164,-1637.25,-656.84
0.165,-1635.83,-657.57
0.165,-1641.31,-659.42
0.166,-1654.56,-661.12
0.167,-1670.25,-663.63
0.167,-1682.76,-666.57
0.168,-1688.25,-667.6
0.169,-1684.09,-669.19
0.169,-1674.46,-667.68
0.17,-1659.35,-664.22
0.171,-1643.46,-664.25
0.172,-1630.4,-661.72
0.172,-1623.4,-660.77
0.173,-1626.22,-664.95
0.174,-1637.23,-666.71
0.174,-1656.56,-666.88
0.175,-1673.06,-667.92
0.176,-1682.78,-669.99
0.176,-1683.49,-670.2
0.177,-1675.08,-668.35
0.178,-1665.54,-664.94
0.179,-1652.98,-663.73
0.179,-1644.76,-661.09
0.18,-1640.7,-659.28
0.18,-1639.9,-657.67
0.181,-1646.82,-660.25
0.182,-1659.29,-663.82
0.183,-1671.01,-666.36
0.183,-1677.94,-666.58
0.184,-1677.24,-669.17
0.185,-1671.74,-669.55
0.185,-1663.44,-664.82
0.186,-1653.94,-665.23
0.187,-1646.98,-660.34
0.188,-1640.6,-659.92
0.188,-1637.33,-660.26
0.189,-1637.96,-660.08
0.19,-1646.88,-661.19
0.19,-1659.35,-661.74
0.191,-1670.28,-666.44
0.192,-1673.77,-667.17
0.193,-1670.18,-664.19
0.193,-1664.16,-665.08
0.194,-1655.94,-663.4
0.195,-1648.24,-660.63
0.195,-1640.65,-660.8
0.196,-1634.44,-658.6
0.197,-1630.25,-658.46
0.197,-1635.12,-657.55
0.198,-1645.36,-662.72
0.199,-1659.89,-663.69
0.2,-1670.31,-665.92
0.2,-1673.06,-664.75
0.201,-1669.79,-667.58
0.202,-1660.55,-666.02
0.202,-1649.66,-664.32
0.203,-1637.33,-662.58
0.204,-1631.18,-660.26
0.204,-1624.7,-661.86
0.205,-1624.67,-661.71
0.205,-1631.48,-666.79
0.206,-1646.84,-671.17
0.206,-1662.6,-675.73
0.206,-1674.55,-677.33
0.206,-1676.66,-677.13
0.213,-1659.23,-670.21
0.213,-1650.93,-667.98
0.213,-1642.65,-669.6
0.213,-1642.73,-667.85
0.213,-1642.63,-671.25
0.213,-1651.06,-674.31
0.213,-1666.93,-676.07
0.213,-1683.43,-678.12
0.213,-1693.2,-682.86
0.212,-1693.23,-681.37
0.212,-1687.55,-678.03
0.212,-1677.26,-678.5
0.212,-1665.58,-674.82
0.212,-1654.51,-672.49
0.212,-1647.06,-671.26
0.212,-1644.34,-670.58
0.212,-1646.25,-670.87
0.212,-1655.38,-670.72
0.212,-1666.22,-673.35
0.212,-1677.23,-674.53
0.212,-1680.63,-674.7
0.211,-1675.82,-674.48
0.211,-1663.25,-674.7
0.21,-1648.95,-675.15
0.21,-1637.92,-672.17
0.209,-1631.61,-672.59
0.208,-1629.54,-673.85
0.208,-1633.81,-673.64
0.207,-1641.43,-673.39
0.206,-1652.41,-674.04
0.206,-1663.51,-675.37
0.205,-1670.45,-674.83
0.204,-1675.22,-672.85
0.203,-1673.05,-673.72
0.202,-1669.65,-671.66
0.201,-1665.58,-669.66
0.2,-1663.44,-669.37
0.2,-1660.19,-669.29
0.199,-1656.77,-667.61
0.198,-1655.32,-668.39
0.198,-1658.09,-667.2
0.197,-1666.33,-668.14
0.196,-1673.04,-669.29
0.196,-1677.86,-670.96
0.195,-1679.9,-669.22
0.195,-1675.19,-671.52
0.194,-1669.64,-668.44
0.194,-1664.33,-669.63
0.193,-1657.91,-668.39
0.192,-1653.2,-666.59
0.192,-1647.01,-668.5
0.191,-1645.51,-665.04
0.191,-1650.21,-667.26
0.19,-1660.64,-667.08
0.189,-1671.56,-669.48
0.188,-1679.26,-670.45
0.187,-1683.49,-670.74
0.187,-1679.29,-670.74
0.186,-1672.5,-668.64
0.185,-1663.55,-667.91
0.185,-1653.26,-666.77
0.184,-1644.35,-667.13
0.183,-1638.64,-666.08
0.182,-1642.02,-663.95
0.182,-1651.63,-663.94
0.181,-1666.29,-667.55
0.18,-1682.78,-672.1
0.18,-1689.09,-671.48
0.179,-1688.96,-673.12
0.178,-1682.18,-674.23
0.178,-1669.15,-670.35
0.177,-1655.39,-667.95
0.176,-1643.57,-665.86
0.176,-1634.41,-662.99
0.175,-1635.15,-664.81
0.174,-1646.21,-668.09
0.174,-1661.49,-669.31
0.173,-1675.98,-671.95
0.172,-1684.83,-675.35
0.172,-1684.86,-674.95
0.171,-1677.19,-673.29
0.17,-1666.36,-672.37
0.169,-1653.89,-668.83
0.169,-1643.42,-667.43
0.168,-1636.55,-668.3
0.167,-1635.78,-669
0.166,-1642.1,-667.47
0.165,-1653.18,-672.51
0.165,-1668.93,-675.43
0.164,-1680.01,-677.88
0.163,-1684.15,-677.76
0.163,-1680.94,-677.46
0.162,-1671.88,-676.08
0.162,-1660.17,-671.99
0.161,-1648.33,-668.63
0.16,-1639.95,-667.19
0.16,-1635.26,-666.67
0.159,-1635.21,-666.33
0.158,-1644.86,-668.58
0.158,-1656.61,-670.84
0.157,-1669.74,-675.06
0.156,-1675.83,-676.16
0.155,-1675.29,-677.17
0.155,-1667.61,-674.1
0.154,-1657.29,-673.46
0.154,-1645.62,-673.65
0.153,-1636.71,-671.5
0.152,-1630.42,-671.04
0.151,-1629.58,-671.7
0.15,-1634,-672.45
0.15,-1645.57,-675.61
0.149,-1657.43,-678.18
0.148,-1667.73,-679.12
0.147,-1668.97,-678.34
0.147,-1664.31,-678.81
0.146,-1653.29,-679.04
0.145,-1643.47,-673.45
0.145,-1633.97,-673.68
0.144,-1627.64,-669.88
0.144,-1623.61,-671.9
0.143,-1624.11,-672.65
0.142,-1631.09,-677.27
0.142,-1642.22,-679.58
0.141,-1653.33,-677.97
0.14,-1658.11,-681.5
0.14,-1657.4,-680.68
0.139,-1648.98,-679.61
0.138,-1637.34,-675.76
0.137,-1626.32,-675.16
0.137,-1618.14,-673.28
0.136,-1611.8,-674.77
0.135,-1609.14,-674.32
0.134,-1611.81,-677.03
0.134,-1620.18,-679.95
0.133,-1629.76,-682.17
0.132,-1636.71,-682.67
0.132,-1637.37,-682.98
0.131,-1630.4,-681.51
0.13,-1622.26,-678.09
0.129,-1611.12,-676.59
0.129,-1602.87,-675.75
0.128,-1593.96,-674.29
0.128,-1588.47,-674.7
0.127,-1586.31,-674.83
0.126,-1589.01,-678.09
0.125,-1597.23,-677.79
0.125,-1605.46,-682.04
0.124,-1609.7,-680.75
0.123,-1606.99,-678.51
0.123,-1601.52,-679.74
0.122,-1594.01,-676.79
0.121,-1586.35,-674.48
0.121,-1576.8,-675.07
0.12,-1569.11,-673.39
0.119,-1562.87,-673.53
0.119,-1560.77,-676.28
0.118,-1562.8,-679.55
0.117,-1569.81,-680.42
0.116,-1577.41,-684.25
0.116,-1578.01,-681.21
0.115,-1574.53,-680.01
0.114,-1567.8,-680
0.113,-1559.47,-679.8
0.113,-1549.78,-676.69
0.112,-1539.45,-676.04
0.112,-1529.7,-672.76
0.111,-1524.2,-671.45
0.11,-1525.58,-676.73
0.11,-1531.78,-678.45
0.109,-1539.45,-680.29
0.108,-1544.25,-680.2
0.107,-1544.32,-681.01
0.107,-1538.11,-683.65
0.106,-1528.48,-676.6
0.105,-1518.86,-674.24
0.105,-1509.01,-672.52
0.104,-1498.16,-671.43
0.103,-1491.12,-671.25
0.102,-1490.45,-670.7
0.102,-1495.28,-677.73
0.101,-1500.77,-677.41
0.1,-1505.02,-678.7
0.1,-1503.64,-678.88
0.099,-1497.5,-677.65
0.098,-1487.73,-675.68
0.097,-1476.05,-673.25
0.097,-1467.72,-670.7
0.096,-1458.63,-668.77
0.095,-1451.9,-669.57
0.095,-1448.32,-671.18
0.094,-1451.03,-674.89
0.093,-1457.24,-675.58
0.093,-1463.49,-678.3
0.092,-1464.98,-679.16
0.091,-1461.46,-676.83
0.091,-1452.49,-676.84
0.09,-1441.47,-672.65
0.089,-1431.04,-670.7
0.089,-1420.8,-666.98
0.088,-1412.45,-667.69
0.087,-1408.41,-667.27
0.086,-1408.34,-671.82
0.086,-1413.11,-673.39
0.085,-1418.66,-676.69
0.084,-1418.76,-679.35
0.084,-1416.75,-676.98
0.083,-1410.42,-674.8
0.082,-1400.77,-675.83
0.081,-1390.44,-668.98
0.081,-1380.16,-668.99
0.08,-1369.06,-664.92
0.08,-1360.19,-666.29
0.079,-1355.89,-667.57
0.078,-1353.83,-668.53
0.077,-1355.9,-674.33
0.077,-1358.03,-676.37
0.076,-1357.23,-677.41
0.075,-1353.76,-674.14
0.075,-1346.29,-673.2
0.074,-1335.97,-670.25
0.073,-1325.66,-668.88
0.073,-1313.84,-663.1
0.072,-1302.88,-662.79
0.071,-1294.39,-663.62
0.07,-1288.13,-665.47
0.07,-1288.27,-668.15
0.069,-1288.23,-670.98
0.068,-1288.26,-672.51
0.068,-1285.41,-671.9
0.067,-1277.09,-671.13
0.066,-1267.69,-667.65
0.066,-1255.99,-664.8
0.065,-1241.43,-660.71
0.064,-1227.52,-658.26
0.063,-1215.13,-658.79
0.063,-1207.48,-661.48
0.062,-1203.45,-664.39
0.061,-1202.71,-669.05
0.06,-1201.97,-669.35
0.06,-1199.41,-669.75
0.059,-1194.55,-668.87
0.058,-1185.53,-665.21
0.058,-1172.37,-663.21
0.057,-1160,-661.87
0.056,-1147.61,-657.15
0.056,-1133.09,-656.77
0.055,-1123.46,-659.39
0.054,-1115.69,-661.66
0.054,-1111.64,-664.13
0.053,-1109.53,-666.77
0.053,-1106.25,-666.97
0.052,-1099.98,-665.3
0.051,-1091.12,-666.23
0.05,-1079.38,-663.52
0.05,-1066.21,-660.31
0.049,-1050.96,-657.48
0.048,-1036.44,-657.71
0.048,-1024.14,-656.03
0.047,-1014.31,-659.06
0.046,-1006.07,-663.06
0.046,-1002.02,-665.53
0.045,-996.4,-666.05
0.044,-988.91,-664.5
0.043,-977.15,-663.42
0.042,-964.72,-660.58
0.041,-950.21,-658.05
0.041,-935.12,-653.14
0.04,-919.13,-651.44
0.039,-903.22,-653.89
0.038,-892.24,-655.57
0.038,-879.87,-658.99
0.037,-872.25,-660.01
0.037,-864.71,-663.47
0.036,-857.03,-662.4
0.035,-846.73,-663.07
0.035,-836.37,-660
0.034,-824.02,-658.64
0.033,-809.05,-653.74
0.033,-794.28,-651.43
0.032,-779.78,-649.16
0.031,-765.25,-650.42
0.031,-752.13,-653.44
0.03,-741.99,-657.02
0.03,-733.64,-658.12
0.029,-725.92,-661.22
0.028,-715.66,-661.31
0.027,-704.78,-660.68
0.026,-689.44,-654.87
0.026,-674.27,-654.18
